zdaid;version;accid;accversion
58798;1119896-1253146;50170238;1343585
47907;1119821-1754054;50170161;1343739
47907;1119821-1754054;50170162;1343737
47874;1096605-1096528;50170523;1343017
43181;1119819-1119820;50170240;1343581
43180;1096400-1096399;50171172;1342123
57674;57674-63594;50170776;1342511
47878;1106031-1106030;50170147;1606765
43176;1092575-1092576;50170114;1343833
462901;1106623-1661476;50170746;1342571
48489;1106659-1106658;50170141;1343779
47530;1119783-1119784;50171238;1341991
47943;1244777-1244778;50170102;1343857
45761;45761-60084;50170838;1342387
47130;1119765-1119766;50170094;1343873
47910;1085996-1244776;50170739;1342585
43165;1098498-1098499;50170329;1343403
46897;1119734-1119735;50170122;1343817
47909;1106631-1244797;50170714;1342635
43161;1106638-1647360;50170556;1342951
43161;1106638-1647360;50170187;1343687
43159;1115707-1244783;50170594;1342875
411375;1106610-1106609;50170414;1343235
47486;1098169-1098170;50170567;1342929
43151;1098120-1098121;50170244;1343573
46298;46298-69662;50170389;1343285
46298;46298-69662;50170536;1342991
47881;1097896-1097897;50170320;1343421
47881;1097896-1097897;50170667;1342729
43229;1097782-1097783;50170792;1342479
43227;43227-70064;50170482;1343099
43236;1097649-1097648;50170229;1343603
47901;1119626-1119627;50170224;1343613
45820;45820-60006;50171322;1341823
43235;1096761-1096760;50171194;1342079
43235;1096761-1096760;50170316;1343429
43235;1096761-1096760;50171193;1342081
427872;1096012-1096013;50171275;1341917
427872;1096012-1096013;50171276;1341915
47939;1119618-1119619;50170815;1342433
47939;1119618-1119619;50170816;1342431
43246;1095748-1095749;50170809;1342445
43246;1095748-1095749;50170415;1343233
43142;1095697-1095713;50170263;1343535
43142;1095697-1095713;50170376;1343311
43136;1095420-1095421;50170200;1343661
43084;43084-1095085;50170055;1343951
43083;1094862-1094874;50170446;1343171
43082;1270247-1270248;50171148;1342171
43082;1270247-1270248;50170346;1343369
43082;1270247-1270248;50171251;1341965
43082;1270247-1270248;50171280;1341907
47935;1094481-1094482;50170313;1343435
47935;1094481-1094482;50170314;1343433
43134;1092880-1092881;50170330;1343401
43132;1092818-1092809;50170082;1343897
47884;1091697-1091698;50170270;1343521
47911;1119604-1119605;50170455;1343153
47911;1119604-1119605;50170456;1343151
47906;1119595-1119596;50170279;1343503
47906;1119595-1119596;50170284;1343493
43081;1119597-1119598;50170898;1342267
47322;1088609-1647361;50171213;1342041
47898;1119572-1119573;50170909;1342245
47898;1119572-1119573;50170294;1343473
43075;1086445-1086076;50170037;1343987
43075;1086445-1086076;50170374;1343315
43075;1086445-1086076;50170370;1343323
47095;1119890-1244775;50170264;1343533
473159;1119570-1119571;50170039;1343983
473159;1119570-1119571;50170847;1342369
473159;1119570-1119571;50170090;1343881
47491;1091502-1091532;50170103;1343855
43115;1086377-1086376;50170720;1342623
43111;1091057-1549511;50170526;1343011
46035;46035-69682;50171255;1341957
58879;1119560-1119561;50170227;1343607
47930;1088844-1088961;50170652;1342759
43106;1088898-1088837;50170641;1342781
43106;1088898-1088837;50170642;1342779
43106;1088898-1088837;50170145;1343771
47590;1088858-1088856;50171245;1341977
47927;1243160-1244781;50170620;1342823
47927;1243160-1244781;50170911;1342241
42516;1085348-1085349;50170896;1342271
43105;43105-65752;50171233;1342001
43102;1119546-1119547;50170825;1342413
411362;1086039-1086040;50170417;1343229
43100;1086042-1086041;50170136;1343789
43100;1086042-1086041;50171304;1341859
43099;43099-59940;50170827;1342409
43099;43099-59940;50170823;1342417
47925;1119544-1119545;50171254;1341959
43098;1085748-1085749;50170527;1343009
47924;1085176-1085177;50170257;1343547
47905;47905-59830;50170293;1343475
47905;47905-59830;50170619;1342825
45453;45453-1108637;50170219;1343623
47517;1119542-1119543;50170607;1342849
46984;1087957-1087895;50170676;1342711
46984;1087957-1087895;50170671;1342721
46984;1087957-1087895;50170672;1342719
45763;1087774-1087787;50171151;1342165
47654;1087754-1087693;50170925;1342213
43091;1087585-1087567;50171191;1342085
43090;1087184-1087194;50170288;1343485
