accid;accversion;acccreated;accchanged;fournisseurid;fournisseurname;accname;accshortname;accdescription;accprivatecode;accxespg2154;accyespg2154;accisentry;accisexit;accgeopoint
50147941;1824338;2021-10-22T08:25:55+00:00;2026-07-24T11:44:37+00:00;59;RATP;r. de l'Église;3;;50147941;645856;6865163;true;true;48.88420501418019, 2.261677427117712
50211181;1824326;2026-07-24T11:44:31+00:00;2026-07-24T11:44:30+00:00;59;RATP;r. du Château;1;;50211181;645739;6865261;true;true;48.885076438936345, 2.2600695538575843
50148414;1606962;2021-10-22T08:24:11+00:00;2026-07-24T08:33:04+00:00;59;RATP;terre-plein central / du bd de la Villette;4;;50148414;654282;6863752;true;true;48.872169624689874, 2.3767233529317426
50148876;1572166;2021-10-22T08:22:38+00:00;2026-07-24T08:27:09+00:00;59;RATP;rue de Chaumont;6;;50148876;653932;6864815;true;true;48.881703988125956, 2.3718366951566034
50147924;1572973;2021-10-22T08:25:58+00:00;2026-07-24T08:27:09+00:00;59;RATP;quai de la Loire;2;;50147924;653867;6864970;true;true;48.8830932053477, 2.37093358350565
50148023;1661262;2021-10-22T08:25:38+00:00;2026-07-23T08:33:48+00:00;59;RATP;av. du Pdt Kennedy;2;;50148023;647585;6862180;true;true;48.857522780863256, 2.2856212390158057
50148049;1572879;2021-10-22T08:25:32+00:00;2026-07-23T08:30:38+00:00;59;RATP;bd de Picpus;1;;50148049;656041;6860350;true;true;48.84169807953678, 2.401054774523901
50148051;1572877;2021-10-22T08:25:32+00:00;2026-07-23T08:30:38+00:00;59;RATP;r. Dagorno;3;;50148051;656027;6860354;true;true;48.84173309665, 2.4008636170981648
50148767;1572269;2021-10-22T08:23:00+00:00;2026-07-23T08:28:47+00:00;59;RATP;r. Bruant;1;;50148767;653574;6859604;true;true;48.83481624043922, 2.3675244957236505
50148086;1572855;2021-10-22T08:25:24+00:00;2026-07-23T08:28:26+00:00;59;RATP;av. de Flandre;5;;50148086;653814;6865195;true;true;48.88511276338574, 2.370186438911667
50148036;1572890;2021-10-22T08:25:35+00:00;2026-07-23T08:26:08+00:00;59;RATP;bd Auguste Blanqui;2;;50148036;652278;6859032;true;true;48.829577526547006, 2.3499336322601176
50148037;1572889;2021-10-22T08:25:35+00:00;2026-07-23T08:26:08+00:00;59;RATP;r. Corvisart;1;;50148037;652274;6859045;true;true;48.8296941409611, 2.3498776889855013
50245429;1821366;2026-07-08T13:29:58+00:00;2026-07-08T15:33:03+00:00;59;RATP;bd de Magenta;8;;;652890;6864197;true;true;48.876071092405724, 2.3576975983479107
50147777;1573106;2021-10-22T08:26:30+00:00;2026-07-08T15:33:03+00:00;59;RATP;r. du Faubourg Saint-Martin;4;;50147777;652985;6864178;true;true;48.87590717241035, 2.3589948836522865
50148489;1572495;2021-10-22T08:23:55+00:00;2026-06-16T09:18:36+00:00;59;RATP;rue Intérieure;5;;50148489;650549;6864224;true;true;48.87613839458703, 2.3257785441463854
50148663;1806069;2021-10-22T08:23:20+00:00;2026-06-16T09:18:36+00:00;59;RATP;passage du Havre;3;;50148663;650623;6864138;true;true;48.87537069804031, 2.3267974173071004
50147833;1805355;2021-10-22T08:26:17+00:00;2026-06-15T09:36:43+00:00;59;RATP;Tour Montparnasse;4;;50147833;650136;6860359;true;true;48.841349151180346, 2.320601312857724
50147832;1573055;2021-10-22T08:26:18+00:00;2026-06-15T09:36:43+00:00;59;RATP;r. d'Odessa;6;;50147832;650414;6860579;true;true;48.84334906126419, 2.324363239546925
50148732;1572301;2021-10-22T08:23:08+00:00;2026-04-13T12:36:58+00:00;59;RATP;bd Ornano;4;;50148732;651913;6869047;true;true;48.919612810410975, 2.343828206170764
50148862;1572177;2021-10-22T08:22:40+00:00;2026-04-03T09:24:02+00:00;59;RATP;Université;1;;50148862;653426;6871956;true;true;48.94588267252467, 2.3641533249858857
50148498;1572488;2021-10-22T08:23:53+00:00;2026-04-03T09:23:49+00:00;59;RATP;r. de la Jonquière;2;;50148498;650658;6866100;true;true;48.89301697541353, 2.3270466137930073
50148497;1572489;2021-10-22T08:23:53+00:00;2026-04-03T09:23:49+00:00;59;RATP;av. de Saint-Ouen;3;;50148497;650685;6866086;true;true;48.892893147935325, 2.3274164631955103
50147986;1661267;2021-10-22T08:25:45+00:00;2026-04-03T09:23:45+00:00;59;RATP;rue de Rivoli;1;;50147986;653056;6861887;true;true;48.85530975399, 2.36021593656261
50147971;1572945;2021-10-22T08:25:49+00:00;2026-04-03T09:23:32+00:00;59;RATP;pl. Clemenceau;1;;50147971;649618;6863269;true;true;48.86747816163801, 2.313199049609146
50147958;1661273;2021-10-22T08:25:51+00:00;2026-04-03T09:23:25+00:00;59;RATP;av. de Malakoff;2;;50147958;647494;6864347;true;true;48.87700266641618, 2.2841132836493285
50148509;1572477;2021-10-22T08:23:51+00:00;2026-04-03T09:23:21+00:00;59;RATP;La Plaine;1;;50148509;652869;6870101;true;true;48.929161482005796, 2.356755574794523
50148001;1572918;2021-10-22T08:25:42+00:00;2026-04-03T09:23:01+00:00;59;RATP;pl. Bérault;2;;50148001;658015;6860774;true;true;48.84564277819281, 2.427907879615322
50148898;1572144;2021-10-22T08:22:33+00:00;2026-04-03T09:22:45+00:00;59;RATP;r. de la Jonquière;8;;50148898;649923;6866269;true;true;48.894479969322276, 2.317002838869153
50148514;1572472;2021-10-22T08:23:50+00:00;2026-04-03T09:22:45+00:00;59;RATP;bd Bessières;2;;50148514;649711;6866260;true;true;48.894382511072216, 2.3141125950940045
50148704;1572328;2021-10-22T08:23:15+00:00;2026-04-03T09:22:31+00:00;59;RATP;passage de l'Aqueduc;1;;50148704;653034;6870934;true;true;48.93666412237004, 2.3589150979893097
50148486;1572497;2021-10-22T08:23:56+00:00;2026-04-03T09:22:25+00:00;59;RATP;Centre Commercial;2;;50148486;650223;6860050;true;true;48.838577036624535, 2.321822790744817
50148524;1606943;2021-10-22T08:23:48+00:00;2026-04-03T09:21:54+00:00;59;RATP;Entrée / Sortie;0;;50148524;648280;6868720;true;true;48.916390572036285, 2.294296481318167
50147943;1572964;2021-10-22T08:25:54+00:00;2026-04-03T09:21:49+00:00;59;RATP;Puteaux;2;;50147943;644939;6865590;true;true;48.88796707883622, 2.2491183404250896
50147942;1572965;2021-10-22T08:25:55+00:00;2026-04-03T09:21:49+00:00;59;RATP;Courbevoie;1;;50147942;644962;6865645;true;true;48.8884636352799, 2.2494248493525597
50147974;1572942;2021-10-22T08:25:48+00:00;2026-04-03T09:21:44+00:00;59;RATP;av. George V;2;;50147974;648685;6863759;true;true;48.8718109549029, 2.3004219955517975
